,2203,1005,2001,1007,1009,1011,2003,1013,1015,1017,2005,1019,1021,1023,2007,1025,1027,1029,2009,1031,1033,1035,2011,1037,1039,1041,2013,1043,1045,1047,2015,1049,1051,1053,2017,1055,1057,1059,2019,1061,1063,1065,2021,1067,1069,1071,2023,1073,1075,1077,2025,1079,2201,1001,1003
micha,,5:23,,5:53,6:23,6:53,,7:23,7:53,8:23,,8:53,9:23,9:53,,10:23,10:53,11:23,,11:53,12:23,12:53,,13:23,13:53,14:23,,14:53,15:23,15:53,,16:23,16:53,17:23,,17:53,18:23,18:53,,19:23,19:53,20:23,,20:53,21:23,21:53,,22:23,22:53,23:23,,23:53,,0:23,0:53
regul,,5:25,,5:55,6:25,6:55,,7:25,7:55,8:25,,8:55,9:25,9:55,,10:25,10:55,11:25,,11:55,12:25,12:55,,13:25,13:55,14:25,,14:55,15:25,15:55,,16:25,16:55,17:25,,17:55,18:25,18:55,,19:25,19:55,20:25,,20:55,21:25,21:55,,22:25,22:55,23:25,,23:55,,0:25,0:55
malic,,5:27,,5:57,6:27,6:57,,7:27,7:57,8:27,,8:57,9:27,9:57,,10:27,10:57,11:27,,11:57,12:27,12:57,,13:27,13:57,14:27,,14:57,15:27,15:57,,16:27,16:57,17:27,,17:57,18:27,18:57,,19:27,19:57,20:27,,20:57,21:27,21:57,,22:27,22:57,23:27,,23:57,,0:27,0:57
twork,,5:30,,6:00,6:30,7:00,,7:30,8:00,8:30,,9:00,9:30,10:00,,10:30,11:00,11:30,,12:00,12:30,13:00,,13:30,14:00,14:30,,15:00,15:30,16:00,,16:30,17:00,17:30,,18:00,18:30,19:00,,19:30,20:00,20:30,,21:00,21:30,22:00,,22:30,23:00,23:30,,0:00,,0:30,1:00
prusz,,5:32,,6:02,6:32,7:02,,7:32,8:02,8:32,,9:02,9:32,10:02,,10:32,11:02,11:32,,12:02,12:32,13:02,,13:32,14:02,14:32,,15:02,15:32,16:02,,16:32,17:02,17:32,,18:02,18:32,19:02,,19:32,20:02,20:32,,21:02,21:32,22:02,,22:32,23:02,23:32,,0:02,,0:32,1:02
komor,,5:34,,6:04,6:34,7:04,,7:34,8:04,8:34,,9:04,9:34,10:04,,10:34,11:04,11:34,,12:04,12:34,13:04,,13:34,14:04,14:34,,15:04,15:34,16:04,,16:34,17:04,17:34,,18:04,18:34,19:04,,19:34,20:04,20:34,,21:04,21:34,22:04,,22:34,23:04,23:34,,0:04,,0:34,1:04
,,5:35,5:45,6:05,6:35,7:05,7:15,7:35,8:05,8:35,8:45,9:05,9:35,10:05,10:15,10:35,11:05,11:35,11:45,12:05,12:35,13:05,13:15,13:35,14:05,14:35,14:45,15:05,15:35,16:05,16:15,16:35,17:05,17:35,17:45,18:05,18:35,19:05,19:15,19:35,20:05,20:35,20:45,21:05,21:35,22:05,22:15,22:35,23:05,23:35,23:45,0:05,,0:35,1:05
nwwar,,5:37,5:47,6:07,6:37,7:07,7:17,7:37,8:07,8:37,8:47,9:07,9:37,10:07,10:17,10:37,11:07,11:37,11:47,12:07,12:37,13:07,13:17,13:37,14:07,14:37,14:47,15:07,15:37,16:07,16:17,16:37,17:07,17:37,17:47,18:07,18:37,19:07,19:17,19:37,20:07,20:37,20:47,21:07,21:37,22:07,22:17,22:37,23:07,23:37,23:47,0:07,,0:37,1:07
kanie,,5:39,5:49,6:09,6:39,7:09,7:19,7:39,8:09,8:39,8:49,9:09,9:39,10:09,10:19,10:39,11:09,11:39,11:49,12:09,12:39,13:09,13:19,13:39,14:09,14:39,14:49,15:09,15:39,16:09,16:19,16:39,17:09,17:39,17:49,18:09,18:39,19:09,19:19,19:39,20:09,20:39,20:49,21:09,21:39,22:09,22:19,22:39,23:09,23:39,23:49,0:09,,0:39,1:09
otreb,,5:41,5:51,6:11,6:41,7:11,7:21,7:41,8:11,8:41,8:51,9:11,9:41,10:11,10:21,10:41,11:11,11:41,11:51,12:11,12:41,13:11,13:21,13:41,14:11,14:41,14:51,15:11,15:41,16:11,16:21,16:41,17:11,17:41,17:51,18:11,18:41,19:11,19:21,19:41,20:11,20:41,20:51,21:11,21:41,22:11,22:21,22:41,23:11,23:41,23:51,0:11,,0:41,1:11
plwsc,,5:43,5:53,6:13,6:43,7:13,7:23,7:43,8:13,8:43,8:53,9:13,9:43,10:13,10:23,10:43,11:13,11:43,11:53,12:13,12:43,13:13,13:23,13:43,14:13,14:43,14:53,15:13,15:43,16:13,16:23,16:43,17:13,17:43,17:53,18:13,18:43,19:13,19:23,19:43,20:13,20:43,20:53,21:13,21:43,22:13,22:23,22:43,23:13,23:43,23:53,0:13,,0:43,1:13
plglo,,5:46,5:56,6:16,6:46,7:16,7:26,7:46,8:16,8:46,8:56,9:16,9:46,10:16,10:26,10:46,11:16,11:46,11:56,12:16,12:46,13:16,13:26,13:46,14:16,14:46,14:56,15:16,15:46,16:16,16:26,16:46,17:16,17:46,17:56,18:16,18:46,19:16,19:26,19:46,20:16,20:46,20:56,21:16,21:46,22:16,22:26,22:46,23:16,23:46,23:56,0:16,,0:46,1:16
,,5:47,5:57,6:17,6:47,7:17,7:27,7:47,8:17,8:47,8:57,9:17,9:47,10:17,10:27,10:47,11:17,11:47,11:57,12:17,12:47,13:17,13:27,13:47,14:17,14:47,14:57,15:17,15:47,16:17,16:27,16:47,17:17,17:47,17:57,18:17,18:47,19:17,19:27,19:47,20:17,20:47,20:57,21:17,21:47,22:17,22:27,22:47,23:17,23:47,23:57,0:17,,0:47,1:17
plzac,4:29,5:49,5:59,6:19,6:49,7:19,7:29,7:49,8:19,8:49,8:59,9:19,9:49,10:19,10:29,10:49,11:19,11:49,11:59,12:19,12:49,13:19,13:29,13:49,14:19,14:49,14:59,15:19,15:49,16:19,16:29,16:49,17:19,17:49,17:59,18:19,18:49,19:19,19:29,19:49,20:19,20:49,20:59,21:19,21:49,22:19,22:29,22:49,23:19,23:49,23:59,0:19,24:39,0:49,1:19
poles,4:31,,6:01,,,,7:31,,,,9:01,,,,10:31,,,,12:01,,,,13:31,,,,15:01,,,,16:31,,,,18:01,,,,19:31,,,,21:01,,,,22:31,,,,0:01,,,,
milgr,4:34,,6:04,,,,7:34,,,,9:04,,,,10:34,,,,12:04,,,,13:34,,,,15:04,,,,16:34,,,,18:04,,,,19:34,,,,21:04,,,,22:34,,,,0:04,,,,
kazim,,5:51,,6:21,6:51,7:21,,7:51,8:21,8:51,,9:21,9:51,10:21,,10:51,11:21,11:51,,12:21,12:51,13:21,,13:51,14:21,14:51,,15:21,15:51,16:21,,16:51,17:21,17:51,,18:21,18:51,19:21,,19:51,20:21,20:51,,21:21,21:51,22:21,,22:51,23:21,23:51,,0:21,0:41,0:51,1:21
brzoz,,5:53,,6:23,6:53,7:23,,7:53,8:23,8:53,,9:23,9:53,10:23,,10:53,11:23,11:53,,12:23,12:53,13:23,,13:53,14:23,14:53,,15:23,15:53,16:23,,16:53,17:23,17:53,,18:23,18:53,19:23,,19:53,20:23,20:53,,21:23,21:53,22:23,,22:53,23:23,23:53,,0:23,0:43,0:53,1:23
gmokr,,5:55,,6:25,6:55,7:25,,7:55,8:25,8:55,,9:25,9:55,10:25,,10:55,11:25,11:55,,12:25,12:55,13:25,,13:55,14:25,14:55,,15:25,15:55,16:25,,16:55,17:25,17:55,,18:25,18:55,19:25,,19:55,20:25,20:55,,21:25,21:55,22:25,,22:55,23:25,23:55,,0:25,0:45,0:55,1:25
gmpia,,5:56,,6:26,6:56,7:26,,7:56,8:26,8:56,,9:26,9:56,10:26,,10:56,11:26,11:56,,12:26,12:56,13:26,,13:56,14:26,14:56,,15:26,15:56,16:26,,16:56,17:26,17:56,,18:26,18:56,19:26,,19:56,20:26,20:56,,21:26,21:56,22:26,,22:56,23:26,23:56,,0:26,0:46,0:56,1:26
gmjor,,5:58,,6:28,6:58,7:28,,7:58,8:28,8:58,,9:28,9:58,10:28,,10:58,11:28,11:58,,12:28,12:58,13:28,,13:58,14:28,14:58,,15:28,15:58,16:28,,16:58,17:28,17:58,,18:28,18:58,19:28,,19:58,20:28,20:58,,21:28,21:58,22:28,,22:58,23:28,23:58,,0:28,0:48,0:58,1:28
gmrad,,6:00,,6:30,7:00,7:30,,8:00,8:30,9:00,,9:30,10:00,10:30,,11:00,11:30,12:00,,12:30,13:00,13:30,,14:00,14:30,15:00,,15:30,16:00,16:30,,17:00,17:30,18:00,,18:30,19:00,19:30,,20:00,20:30,21:00,,21:30,22:00,22:30,,23:00,23:30,0:00,,0:30,0:50,1:00,1:30
